NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
242	TOUCAN	ANIMALS	308	TOUCAN
243	TREE	AGRICULTURE_AND_VEGETATION	906	TREE
244	TREE TRUNK	AGRICULTURE_AND_VEGETATION	344	TREE TRUNK
245	TUCUM			
246	TURTLE	ANIMALS	112	TURTLE
247	TWO	QUANTITY	1498	TWO
248	UGLY	EMOTIONS_AND_VALUES	1548	UGLY
249	VULTURE	ANIMALS	1185	VULTURE
250	WALK	MOTION	1443	WALK
251	WASP	ANIMALS	1517	WASP
252	WATER	THE_PHYSICAL_WORLD	948	WATER
253	WAX		3942	WAX
254	WE (EXCLUSIVE)	KINSHIP	1130	WE (EXCLUSIVE)
255	WHITE	SENSE_PERCEPTION	1335	WHITE
256	WHITE-LIPPED PECCARY	ANIMALS	436	WHITE-LIPPED PECCARY
257	WIND	THE_PHYSICAL_WORLD	960	WIND
258	WOLF	ANIMALS	522	WOLF
259	WOMAN		962	WOMAN
260	WOOD	THE_PHYSICAL_WORLD	1803	WOOD
261	WRIST			WRIST
262	YAM	AGRICULTURE_AND_VEGETATION	410	YAM
263	YELLOW	SENSE_PERCEPTION	1424	YELLOW
264	YOU	KINSHIP	1213	YOU
265	COMB	CLOTHING_AND_GROOMING	1475	COMB
266	CROOKED	SPATIAL_RELATIONS	297	CROOKED
267	FAT			
268	GREEN	SENSE_PERCEPTION	1425	GREEN
269	HEAD	THE_BODY	1256	HEAD
270	HOT	SENSE_PERCEPTION	1286	HOT
271	HUNT	WARFARE_AND_HUNTING	1435	HUNT
272	THUNDER	THE_PHYSICAL_WORLD	1150	THUNDER
273	WANT	EMOTIONS_AND_VALUES	1784	WANT
274	RHEA	ANIMALS		RHEA(Rhea americana)
275	CHICHA		441	CHICHA
276	SERIEMA (Cariama cristata)	ANIMALS		
