ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Otuke-138_jaguar-2-1,Otuke-138_jaguar-2,ahi / anteko,141,false,expert,,a n t e k - - - o,SCA,,1
Otuke-146_leg-1-1,Otuke-146_leg-1,la,143,false,expert,,- - - - l a,SCA,,1
Bororo-146_leg-1-1,Bororo-146_leg-1,pogwora,143,false,expert,,p o gʷ o r a,SCA,,1
Otuke-24_beautiful-1-1,Otuke-24_beautiful-1,aniesokikia,52,false,expert,,a n ie s o k i k ia,SCA,,1
Bororo-24_beautiful-1-1,Bororo-24_beautiful-1,moty,51,false,expert,,m o t ɯ,SCA,,1
Otuke-50_cheek-1-1,Otuke-50_cheek-1,renara,74,false,expert,,r e n a r a,SCA,,1
Bororo-50_cheek-1-1,Bororo-50_cheek-1,jeködy,73,false,expert,,dʒ e k ʌ d ɨ,SCA,,1
Bororo-264_you-1-1,Bororo-264_you-1,tagi,272,false,expert,,t a g i,SCA,,1
Otuke-97_firefly-1-1,Otuke-97_firefly-1,tuhareturutu,275,false,expert,,t u h a r e t u r u t u,SCA,,1
Umutina-97_firefly-1-1,Umutina-97_firefly-1,zokono,316,false,expert,,z o k o n o,SCA,,1
Bororo-97_firefly-1-1,Bororo-97_firefly-1,bytyiari,466,false,expert,,b ɨ t ɨ ia r i,SCA,,1
Bororo-97_firefly-2-1,Bororo-97_firefly-2,joko pigipigi,316,false,expert,,j o k - - o,SCA,,1
Bororo-97_firefly-2-2,Bororo-97_firefly-2,joko pigipigi,468,false,expert,,p i g i p i g i,SCA,,2
Otuke-240_tongue-1-1,Otuke-240_tongue-1,ceru,276,false,expert,,tʃ ɛ ɾ u,SCA,,1
Bororo-240_tongue-1-1,Bororo-240_tongue-1,ceru,276,false,expert,,tʃ ɛ ɾ u,SCA,,1
Otuke-76_dragonfly-1-1,Otuke-76_dragonfly-1,cecuvi ohe,277,false,expert,,tʃ e tʃ u v i,SCA,,1
Otuke-76_dragonfly-1-2,Otuke-76_dragonfly-1,cecuvi ohe,278,false,expert,,o h e,SCA,,2
Otuke-120_hand-1-1,Otuke-120_hand-1,seni,279,false,expert,,s e n i,SCA,,1
Bororo-120_hand-1-1,Bororo-120_hand-1,gera,280,false,expert,,g e r a,SCA,,1
Umutina-120_hand-1-1,Umutina-120_hand-1,zila,280,false,expert,,z i l a,SCA,,1
Otuke-153_maize-1-1,Otuke-153_maize-1,mucata,281,false,expert,,m u tʃ a t a,SCA,,1
Bororo-153_maize-1-1,Bororo-153_maize-1,kuiada,282,false,expert,,kʷ u j a d a,SCA,,1
Kovareka-153_maize-1-1,Kovareka-153_maize-1,takuri,283,false,expert,,t a k u r i,SCA,,1
Umutina-153_maize-1-1,Umutina-153_maize-1,humataka,320,false,expert,,h u m a t a k a,SCA,,1
Otuke-53_chin-1-1,Otuke-53_chin-1,tiura,286,false,expert,,- t iu r a,SCA,,1
Bororo-53_chin-1-1,Bororo-53_chin-1,okura,286,false,expert,,o kʷ u r a,SCA,,1
Otuke-127_honey-1-1,Otuke-127_honey-1,subeoru,288,false,expert,,s u b eo r u,SCA,,1
Kuruminaka-127_honey-1-1,Kuruminaka-127_honey-1,zeru,289,false,expert,,z e r u,SCA,,1
Bororo-127_honey-1-1,Bororo-127_honey-1,meiawe eweguru,290,false,expert,,m ei a w ɔe,SCA,,1
Bororo-127_honey-1-2,Bororo-127_honey-1,meiawe eweguru,291,false,expert,,e w e ɡ u ɾ u,SCA,,2
Bororo-25_bee-1-1,Bororo-25_bee-1,meiao,290,false,expert,,m ei - - ao,SCA,,1
Otuke-25_bee-1-1,Otuke-25_bee-1,sure,334,false,expert,,s u r e,SCA,,1
Otuke-162_mountain-1-1,Otuke-162_mountain-1,batari,292,false,expert,,b a t a r i,SCA,,1
Bororo-162_mountain-1-1,Bororo-162_mountain-1,tori,292,false,expert,,- - t o r i,SCA,,1
Otuke-254_weexclusive-1-1,Otuke-254_weexclusive-1,sekiaco,294,false,expert,,s e k ia tʃ o,SCA,,1
Bororo-254_weexclusive-1-1,Bororo-254_weexclusive-1,cegi,294,false,expert,,tʃ e g i - -,SCA,,1
Otuke-166_night-1-1,Otuke-166_night-1,huasahuitaha,295,false,expert,,h ua s a h ui t a h a,SCA,,1
Bororo-166_night-1-1,Bororo-166_night-1,boeco,295,false,expert,,- - - - b oe tʃ - - o,SCA,,1
Otuke-86_eye-1-1,Otuke-86_eye-1,caa,296,false,expert,,tʃ aː - -,SCA,,1
Bororo-86_eye-1-1,Bororo-86_eye-1,joku,296,false,expert,,dʒ o kʷ u,SCA,,1
Umutina-86_eye-1-1,Umutina-86_eye-1,arikixi,425,false,expert,,a ɾ i k i ʃ i,SCA,,1
Otuke-29_bird-1-1,Otuke-29_bird-1,nahuahuoxio,298,false,expert,,n a h ua h uo ʃ io,SCA,,1
Bororo-29_bird-1-1,Bororo-29_bird-1,kiogo,299,false,expert,,k io ɡ ɤ,SCA,,1
Otuke-249_vulture-1-1,Otuke-249_vulture-1,akarakapa,300,false,expert,,a k a r a k a p a,SCA,,1
Bororo-249_vulture-1-1,Bororo-249_vulture-1,poburewu,301,false,expert,,p ɔ b u r e w u,SCA,,1
Umutina-249_vulture-1-1,Umutina-249_vulture-1,balatu,304,false,expert,,b a l a t u,SCA,,1
Umutina-121_hawk-1-1,Umutina-121_hawk-1,ajposepa,302,false,expert,,a j p o s e p a,SCA,,1
Bororo-121_hawk-1-1,Bororo-121_hawk-1,aroeceba,302,false,expert,,a - r oe tʃ e b a,SCA,,1
Umutina-256_whitelippedpeccary-1-1,Umutina-256_whitelippedpeccary-1,botoɾekaɾɛ,305,false,expert,,b o t o ɾ e k a ɾ ɛ,SCA,,1
Bororo-256_whitelippedpeccary-1-1,Bororo-256_whitelippedpeccary-1,tarigo,305,false,expert,,- - t a r i g - - o,SCA,,1
Umutina-176_parrot-1-1,Umutina-176_parrot-1,ʒuɾi,258,false,expert,,- - - ʒ u ɾ - - - - - - i,SCA,,1
Bororo-176_parrot-1-1,Bororo-176_parrot-1,kʷuɾitaga,258,false,expert,,kʷ u - ɾ i t - - a g - - a,SCA,,1
Umutina-137_jabirujabirumycteria-1-1,Umutina-137_jabirujabirumycteria-1,mataja,258,false,expert,,- - - m a t - - - - a j a,SCA,,1
Bororo-137_jabirujabirumycteria-1-1,Bororo-137_jabirujabirumycteria-1,bacekoguio,258,false,expert,,- - - b a tʃ e k o gʷ u j o,SCA,,1
Otuke-137_jabirujabirumycteria-1-1,Otuke-137_jabirujabirumycteria-1,huse hemesera,340,false,expert,,h u s e,SCA,,1
