ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Bororo-80_ear-1,,Bororo,80_ear,bia,bia,b i a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,EAR,50,105
Umutina-80_ear-1,,Umutina,80_ear,bia,bia,b i a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,EAR,50,105
Otuke-80_ear-1,,Otuke,80_ear,caparara,caparara,c a p a ɾ a ɾ a,,de1912linguistique;monfort1913linguistique,,,,,EAR,325,344
Bororo-81_earthorland-1,,Bororo,81_earthorland,moto,moto,m o t o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,EARTH,135,106
Otuke-81_earthorland-1,,Otuke,81_earthorland,moktuhu,moktuhu,m o k t u h u,,de1912linguistique;monfort1913linguistique,,,,,EARTH,135,106
Umutina-81_earthorland-1,,Umutina,81_earthorland,moto,moto,m o t o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,EARTH,135,106
Bororo-82_eat-1,,Bororo,82_eat,ko,ko,k o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,EAT,112,107
Umutina-82_eat-1,,Umutina,82_eat,ho,ho,h o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,EAT,112,107
Otuke-82_eat-1,,Otuke,82_eat,oaketa,oaketa,oa k e t a,,de1912linguistique;monfort1913linguistique,,,,,EAT,184,284
Bororo-84_egg-1,,Bororo,84_egg,ba,ba,b a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,EGG,35,108
Umutina-84_egg-1,,Umutina,84_egg,ba / mba,ba,b a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,EGG,35,108
Umutina-84_egg-2,,Umutina,84_egg,ba / mba,mba,m/b a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,EGG,35,108
Otuke-84_egg-1,,Otuke,84_egg,huaha,huaha,h ua h a,,de1912linguistique;monfort1913linguistique,,,,,EGG,217,297
Bororo-85_elbow-1,,Bororo,85_elbow,piora,piora,p io r a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ELBOW,66,109
Otuke-85_elbow-1,,Otuke,85_elbow,kiarato,kiarato,k ia r a t o,,de1912linguistique;monfort1913linguistique,,,,,ELBOW,66,109
Umutina-85_elbow-1,,Umutina,85_elbow,ataka,ataka,a t a k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,ELBOW,386,408
Bororo-88_face-1,,Bororo,88_face,dʒe,dʒe,dʒ e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FACE,9,110
Otuke-88_face-1,,Otuke,88_face,tʃe,tʃe,tʃ e,,de1912linguistique;monfort1913linguistique,,,,,FACE,9,110
Umutina-88_face-1,,Umutina,88_face,azeʔ,azeʔ,a z e ʔ,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FACE,9,110
Bororo-89_faecesexcrement-1,,Bororo,89_faecesexcrement,pe,pe,p e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FECES,149,111
Umutina-89_faecesexcrement-1,,Umutina,89_faecesexcrement,pe,pe,p e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FECES,149,111
Bororo-91_fearfright-1,,Bororo,91_fearfright,pagɨdɨ,pagɨdɨ,p a g ɨ d ɨ,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FEAR,147,112
Umutina-91_fearfright-1,,Umutina,91_fearfright,pakixi,pakixi,p a k i x i,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FEAR,147,112
Bororo-93_field-1,,Bororo,93_field,boku,boku,b o k u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,FIELD,58,113
